"Time","S0 (inverter/slowDeg, 1)","S0 (inverter/slowDeg, 10)","S0 (inverter/slowDeg, 2)","S0 (inverter/slowDeg, 3)","S0 (inverter/slowDeg, 4)","S0 (inverter/slowDeg, 5)","S0 (inverter/slowDeg, 6)","S0 (inverter/slowDeg, 7)","S0 (inverter/slowDeg, 8)","S0 (inverter/slowDeg, 9)"
133.0,50.0,120.0,60.0,98.0,40.0,10.0,80.0,40.0,110.0,60.0
134.0,50.0,120.0,60.0,98.0,40.0,10.0,80.0,40.0,110.0,60.0
135.0,50.0,120.0,60.0,98.0,40.0,10.0,80.0,40.0,110.0,60.0
136.0,50.0,120.0,60.0,98.0,40.0,10.0,80.0,40.0,110.0,60.0
137.0,50.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
138.0,50.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
139.0,50.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
140.0,50.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
141.0,60.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
142.0,60.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
143.0,60.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
144.0,60.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
145.0,60.0,120.0,60.0,98.0,50.0,10.0,80.0,40.0,110.0,60.0
146.0,60.0,120.0,60.0,98.0,50.0,10.0,90.0,40.0,110.0,60.0
147.0,60.0,120.0,60.0,98.0,50.0,10.0,90.0,40.0,110.0,60.0
148.0,60.0,120.0,60.0,98.0,50.0,10.0,90.0,40.0,110.0,60.0
149.0,60.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,60.0
150.0,70.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,60.0
151.0,70.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,60.0
152.0,70.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,60.0
153.0,70.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,60.0
154.0,80.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,60.0
155.0,80.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,70.0
156.0,80.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,70.0
157.0,80.0,120.0,60.0,98.0,50.0,20.0,90.0,40.0,110.0,70.0
158.0,80.0,120.0,60.0,98.0,50.0,20.0,100.0,40.0,110.0,70.0
159.0,80.0,120.0,60.0,98.0,50.0,20.0,100.0,40.0,110.0,70.0
160.0,80.0,120.0,60.0,98.0,50.0,20.0,100.0,40.0,110.0,70.0
161.0,79.0,120.0,60.0,98.0,50.0,20.0,100.0,40.0,110.0,70.0
162.0,79.0,130.0,60.0,98.0,60.0,20.0,100.0,40.0,110.0,70.0
163.0,99.0,130.0,60.0,98.0,60.0,20.0,110.0,40.0,110.0,70.0
164.0,99.0,130.0,60.0,98.0,60.0,20.0,110.0,40.0,120.0,70.0
165.0,99.0,130.0,60.0,98.0,60.0,20.0,110.0,40.0,120.0,70.0
166.0,99.0,130.0,60.0,98.0,60.0,20.0,110.0,40.0,120.0,70.0
167.0,99.0,130.0,60.0,98.0,60.0,20.0,110.0,40.0,120.0,70.0
168.0,99.0,130.0,80.0,98.0,60.0,20.0,110.0,50.0,120.0,70.0
169.0,99.0,130.0,80.0,98.0,60.0,20.0,110.0,50.0,120.0,70.0
170.0,99.0,130.0,79.0,98.0,60.0,20.0,110.0,50.0,120.0,70.0
171.0,99.0,130.0,79.0,98.0,60.0,20.0,110.0,50.0,120.0,70.0
172.0,99.0,130.0,79.0,98.0,60.0,20.0,110.0,50.0,120.0,70.0
173.0,99.0,130.0,79.0,98.0,60.0,20.0,120.0,50.0,120.0,70.0
174.0,99.0,130.0,79.0,98.0,59.0,20.0,120.0,50.0,120.0,70.0
175.0,99.0,130.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
176.0,109.0,129.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
177.0,109.0,129.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
178.0,109.0,129.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
179.0,109.0,129.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
180.0,109.0,129.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
181.0,109.0,129.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
182.0,109.0,129.0,79.0,98.0,59.0,20.0,120.0,50.0,130.0,70.0
183.0,109.0,129.0,79.0,98.0,59.0,30.0,120.0,50.0,130.0,70.0
184.0,109.0,129.0,79.0,98.0,59.0,30.0,120.0,50.0,130.0,70.0
185.0,109.0,129.0,79.0,98.0,59.0,30.0,120.0,50.0,130.0,70.0
186.0,109.0,129.0,79.0,98.0,59.0,30.0,120.0,50.0,130.0,70.0
187.0,109.0,129.0,79.0,98.0,59.0,29.0,120.0,50.0,130.0,70.0
188.0,119.0,129.0,79.0,98.0,59.0,29.0,120.0,50.0,130.0,70.0
189.0,119.0,129.0,79.0,98.0,59.0,29.0,120.0,50.0,130.0,70.0
190.0,119.0,129.0,89.0,98.0,69.0,29.0,120.0,50.0,130.0,70.0
191.0,119.0,129.0,89.0,98.0,69.0,29.0,120.0,50.0,130.0,70.0
192.0,119.0,129.0,88.0,98.0,69.0,29.0,120.0,50.0,130.0,70.0
193.0,119.0,129.0,88.0,98.0,69.0,29.0,130.0,50.0,130.0,70.0
194.0,119.0,129.0,88.0,98.0,69.0,29.0,130.0,60.0,130.0,70.0
195.0,119.0,139.0,98.0,98.0,69.0,29.0,130.0,60.0,130.0,70.0
196.0,119.0,139.0,108.0,98.0,69.0,29.0,130.0,60.0,130.0,70.0
197.0,119.0,139.0,108.0,98.0,69.0,29.0,130.0,60.0,130.0,70.0
198.0,119.0,139.0,108.0,98.0,69.0,29.0,130.0,60.0,140.0,70.0
199.0,119.0,139.0,108.0,98.0,69.0,29.0,130.0,60.0,140.0,70.0
200.0,119.0,139.0,108.0,98.0,69.0,29.0,140.0,60.0,140.0,70.0
