"Time","S0 (inverter/medDeg, 1)","S0 (inverter/medDeg, 10)","S0 (inverter/medDeg, 2)","S0 (inverter/medDeg, 3)","S0 (inverter/medDeg, 4)","S0 (inverter/medDeg, 5)","S0 (inverter/medDeg, 6)","S0 (inverter/medDeg, 7)","S0 (inverter/medDeg, 8)","S0 (inverter/medDeg, 9)"
30.0,10.0,10.0,18.0,10.0,19.0,43.0,10.0,16.0,9.0,14.0
31.0,9.0,10.0,18.0,10.0,19.0,43.0,10.0,16.0,9.0,14.0
32.0,19.0,10.0,18.0,10.0,19.0,43.0,10.0,16.0,8.0,14.0
33.0,19.0,10.0,18.0,10.0,19.0,43.0,10.0,16.0,8.0,14.0
34.0,19.0,20.0,18.0,10.0,19.0,43.0,9.0,26.0,8.0,13.0
35.0,19.0,20.0,18.0,10.0,18.0,42.0,9.0,25.0,8.0,13.0
36.0,19.0,19.0,18.0,10.0,18.0,42.0,9.0,25.0,18.0,12.0
37.0,19.0,19.0,17.0,10.0,18.0,42.0,9.0,25.0,28.0,12.0
38.0,19.0,19.0,26.0,10.0,17.0,42.0,9.0,35.0,38.0,12.0
39.0,19.0,19.0,26.0,10.0,17.0,42.0,9.0,34.0,36.0,12.0
40.0,19.0,19.0,26.0,19.0,17.0,42.0,19.0,34.0,35.0,12.0
41.0,17.0,19.0,25.0,19.0,17.0,41.0,19.0,34.0,35.0,12.0
42.0,17.0,19.0,25.0,19.0,17.0,41.0,19.0,34.0,35.0,12.0
43.0,17.0,19.0,25.0,19.0,17.0,41.0,19.0,34.0,35.0,12.0
44.0,17.0,29.0,25.0,19.0,17.0,40.0,17.0,34.0,35.0,12.0
45.0,17.0,29.0,25.0,19.0,17.0,40.0,17.0,33.0,35.0,12.0
46.0,17.0,29.0,25.0,19.0,17.0,39.0,17.0,33.0,35.0,12.0
47.0,17.0,29.0,25.0,19.0,17.0,39.0,15.0,32.0,35.0,11.0
48.0,17.0,28.0,25.0,19.0,17.0,39.0,15.0,32.0,35.0,11.0
49.0,17.0,27.0,25.0,19.0,17.0,39.0,14.0,32.0,35.0,11.0
50.0,17.0,27.0,25.0,19.0,16.0,38.0,13.0,32.0,34.0,10.0
51.0,17.0,27.0,35.0,19.0,16.0,38.0,13.0,32.0,34.0,10.0
52.0,27.0,26.0,34.0,18.0,16.0,48.0,13.0,32.0,33.0,10.0
53.0,24.0,26.0,34.0,18.0,16.0,48.0,13.0,31.0,33.0,20.0
54.0,24.0,26.0,54.0,18.0,16.0,48.0,13.0,31.0,31.0,20.0
55.0,24.0,26.0,54.0,17.0,16.0,47.0,13.0,31.0,31.0,20.0
56.0,23.0,26.0,53.0,16.0,16.0,47.0,13.0,30.0,31.0,20.0
57.0,23.0,26.0,52.0,16.0,16.0,47.0,13.0,30.0,31.0,20.0
58.0,23.0,26.0,52.0,16.0,16.0,47.0,13.0,30.0,31.0,20.0
59.0,33.0,26.0,52.0,26.0,16.0,46.0,13.0,30.0,31.0,20.0
60.0,33.0,26.0,52.0,26.0,16.0,46.0,13.0,29.0,31.0,19.0
61.0,33.0,26.0,52.0,25.0,16.0,46.0,13.0,29.0,31.0,18.0
62.0,33.0,26.0,52.0,25.0,16.0,56.0,13.0,29.0,31.0,17.0
63.0,33.0,26.0,52.0,25.0,16.0,56.0,13.0,29.0,31.0,16.0
64.0,33.0,26.0,52.0,25.0,16.0,56.0,13.0,29.0,31.0,16.0
65.0,32.0,36.0,50.0,25.0,15.0,56.0,13.0,29.0,31.0,16.0
66.0,32.0,36.0,50.0,25.0,15.0,56.0,13.0,29.0,31.0,16.0
67.0,32.0,36.0,50.0,25.0,15.0,56.0,12.0,27.0,30.0,15.0
68.0,32.0,36.0,50.0,24.0,15.0,66.0,12.0,27.0,30.0,15.0
69.0,32.0,36.0,50.0,24.0,15.0,66.0,11.0,37.0,30.0,15.0
70.0,32.0,36.0,50.0,24.0,14.0,65.0,11.0,37.0,30.0,15.0
71.0,32.0,36.0,60.0,24.0,14.0,64.0,11.0,37.0,30.0,15.0
72.0,31.0,36.0,60.0,24.0,14.0,64.0,11.0,37.0,30.0,15.0
73.0,31.0,36.0,60.0,24.0,14.0,63.0,11.0,36.0,29.0,15.0
74.0,31.0,36.0,60.0,24.0,14.0,62.0,11.0,36.0,29.0,13.0
75.0,29.0,36.0,60.0,24.0,14.0,60.0,11.0,36.0,29.0,13.0
76.0,29.0,36.0,60.0,24.0,14.0,60.0,11.0,35.0,29.0,13.0
77.0,29.0,35.0,60.0,24.0,14.0,60.0,10.0,35.0,29.0,13.0
78.0,29.0,35.0,60.0,24.0,14.0,60.0,10.0,35.0,29.0,13.0
79.0,29.0,35.0,60.0,23.0,14.0,60.0,10.0,35.0,29.0,13.0
80.0,29.0,35.0,60.0,23.0,14.0,60.0,10.0,34.0,29.0,13.0
81.0,29.0,35.0,59.0,23.0,14.0,59.0,10.0,34.0,28.0,13.0
82.0,39.0,35.0,58.0,23.0,14.0,59.0,10.0,34.0,28.0,23.0
83.0,39.0,45.0,68.0,23.0,14.0,57.0,10.0,33.0,27.0,33.0
84.0,38.0,45.0,68.0,23.0,14.0,57.0,10.0,43.0,27.0,33.0
85.0,38.0,45.0,67.0,23.0,14.0,57.0,10.0,43.0,27.0,32.0
86.0,37.0,45.0,67.0,23.0,14.0,57.0,10.0,42.0,27.0,32.0
87.0,37.0,45.0,67.0,23.0,14.0,56.0,10.0,42.0,27.0,32.0
88.0,37.0,45.0,66.0,22.0,14.0,56.0,10.0,42.0,27.0,32.0
89.0,37.0,45.0,66.0,22.0,14.0,55.0,10.0,41.0,27.0,32.0
90.0,37.0,45.0,66.0,21.0,14.0,55.0,10.0,40.0,27.0,32.0
91.0,37.0,45.0,66.0,21.0,14.0,55.0,10.0,40.0,27.0,32.0
92.0,36.0,45.0,65.0,21.0,14.0,55.0,10.0,40.0,37.0,32.0
93.0,36.0,45.0,64.0,21.0,14.0,54.0,10.0,38.0,37.0,31.0
94.0,36.0,44.0,74.0,21.0,14.0,54.0,10.0,37.0,37.0,31.0
95.0,46.0,44.0,73.0,21.0,24.0,54.0,10.0,37.0,37.0,31.0
96.0,45.0,44.0,73.0,21.0,24.0,53.0,10.0,36.0,37.0,31.0
97.0,45.0,44.0,73.0,31.0,23.0,53.0,10.0,35.0,36.0,31.0
98.0,45.0,54.0,83.0,31.0,23.0,52.0,10.0,35.0,35.0,40.0
99.0,44.0,54.0,83.0,40.0,23.0,52.0,10.0,35.0,35.0,40.0
100.0,42.0,53.0,83.0,40.0,23.0,52.0,10.0,34.0,45.0,40.0
101.0,41.0,53.0,82.0,40.0,23.0,51.0,10.0,34.0,44.0,38.0
102.0,41.0,53.0,82.0,40.0,23.0,51.0,10.0,33.0,44.0,38.0
103.0,41.0,52.0,82.0,40.0,23.0,51.0,10.0,32.0,43.0,38.0
104.0,40.0,52.0,82.0,40.0,23.0,51.0,10.0,41.0,43.0,48.0
105.0,49.0,52.0,82.0,40.0,23.0,61.0,10.0,39.0,43.0,48.0
106.0,48.0,52.0,82.0,40.0,22.0,60.0,10.0,48.0,42.0,48.0
107.0,47.0,52.0,82.0,39.0,21.0,58.0,10.0,48.0,42.0,48.0
108.0,47.0,52.0,82.0,38.0,21.0,58.0,20.0,48.0,42.0,48.0
109.0,46.0,52.0,81.0,46.0,20.0,58.0,20.0,48.0,52.0,48.0
110.0,46.0,52.0,80.0,54.0,20.0,57.0,30.0,48.0,52.0,48.0
111.0,46.0,52.0,80.0,54.0,20.0,57.0,30.0,48.0,51.0,48.0
112.0,46.0,52.0,80.0,54.0,20.0,57.0,30.0,48.0,49.0,48.0
113.0,45.0,52.0,80.0,54.0,20.0,56.0,30.0,48.0,49.0,47.0
114.0,44.0,52.0,80.0,52.0,19.0,56.0,30.0,48.0,49.0,46.0
115.0,44.0,52.0,80.0,51.0,19.0,54.0,30.0,48.0,49.0,56.0
116.0,44.0,52.0,80.0,51.0,19.0,53.0,30.0,48.0,48.0,55.0
117.0,42.0,52.0,80.0,51.0,19.0,53.0,40.0,48.0,48.0,54.0
118.0,42.0,51.0,78.0,51.0,19.0,53.0,39.0,47.0,48.0,54.0
119.0,42.0,49.0,78.0,51.0,19.0,53.0,39.0,47.0,48.0,64.0
120.0,42.0,49.0,78.0,51.0,19.0,52.0,39.0,47.0,48.0,61.0
121.0,42.0,48.0,77.0,49.0,19.0,51.0,39.0,47.0,48.0,61.0
122.0,42.0,48.0,77.0,49.0,19.0,51.0,38.0,47.0,47.0,60.0
123.0,42.0,47.0,76.0,49.0,19.0,51.0,38.0,47.0,47.0,60.0
124.0,42.0,47.0,75.0,48.0,19.0,50.0,38.0,47.0,47.0,60.0
125.0,42.0,47.0,75.0,48.0,19.0,50.0,38.0,46.0,56.0,60.0
126.0,42.0,47.0,75.0,48.0,19.0,50.0,38.0,46.0,55.0,59.0
127.0,42.0,46.0,75.0,48.0,19.0,50.0,37.0,46.0,64.0,59.0
128.0,42.0,46.0,75.0,48.0,19.0,48.0,37.0,46.0,63.0,58.0
129.0,42.0,46.0,75.0,48.0,28.0,48.0,37.0,46.0,63.0,57.0
130.0,42.0,46.0,75.0,47.0,27.0,47.0,37.0,45.0,62.0,57.0
131.0,42.0,46.0,75.0,46.0,27.0,46.0,36.0,45.0,61.0,57.0
132.0,42.0,46.0,75.0,46.0,27.0,46.0,36.0,45.0,61.0,57.0
133.0,42.0,56.0,75.0,55.0,27.0,46.0,36.0,45.0,71.0,57.0
134.0,42.0,56.0,74.0,55.0,27.0,45.0,36.0,45.0,71.0,54.0
135.0,41.0,55.0,72.0,54.0,27.0,44.0,36.0,45.0,70.0,64.0
136.0,40.0,55.0,71.0,54.0,26.0,43.0,36.0,45.0,70.0,64.0
137.0,40.0,55.0,71.0,54.0,26.0,43.0,35.0,44.0,69.0,63.0
138.0,40.0,55.0,70.0,54.0,26.0,42.0,34.0,43.0,69.0,61.0
139.0,50.0,55.0,70.0,54.0,25.0,41.0,44.0,43.0,68.0,60.0
140.0,50.0,53.0,69.0,53.0,23.0,40.0,53.0,43.0,68.0,59.0
141.0,49.0,63.0,69.0,53.0,23.0,40.0,52.0,43.0,68.0,59.0
142.0,49.0,62.0,69.0,53.0,23.0,40.0,52.0,43.0,66.0,57.0
143.0,49.0,62.0,69.0,52.0,22.0,40.0,52.0,43.0,66.0,57.0
144.0,49.0,59.0,69.0,52.0,22.0,39.0,52.0,43.0,66.0,57.0
145.0,49.0,59.0,68.0,52.0,22.0,39.0,52.0,43.0,66.0,57.0
146.0,49.0,58.0,68.0,52.0,22.0,39.0,51.0,43.0,66.0,55.0
147.0,48.0,58.0,66.0,51.0,21.0,39.0,51.0,42.0,66.0,54.0
148.0,48.0,57.0,66.0,51.0,21.0,39.0,51.0,41.0,66.0,54.0
149.0,58.0,57.0,65.0,61.0,20.0,39.0,50.0,41.0,66.0,53.0
150.0,58.0,57.0,65.0,61.0,20.0,39.0,49.0,41.0,66.0,53.0
151.0,58.0,66.0,64.0,61.0,20.0,38.0,59.0,41.0,66.0,53.0
152.0,58.0,65.0,64.0,70.0,20.0,36.0,59.0,41.0,65.0,52.0
153.0,58.0,65.0,64.0,70.0,19.0,36.0,58.0,41.0,65.0,52.0
154.0,57.0,65.0,64.0,70.0,19.0,36.0,58.0,41.0,75.0,52.0
155.0,57.0,64.0,62.0,69.0,19.0,34.0,57.0,41.0,75.0,51.0
156.0,57.0,64.0,61.0,69.0,19.0,34.0,56.0,41.0,75.0,49.0
157.0,56.0,63.0,59.0,69.0,19.0,34.0,56.0,41.0,75.0,48.0
158.0,56.0,62.0,57.0,69.0,19.0,34.0,56.0,41.0,75.0,48.0
159.0,56.0,61.0,66.0,68.0,19.0,34.0,56.0,41.0,75.0,48.0
160.0,55.0,61.0,66.0,68.0,19.0,34.0,55.0,41.0,75.0,48.0
161.0,55.0,61.0,66.0,68.0,19.0,34.0,55.0,41.0,75.0,48.0
162.0,55.0,61.0,66.0,68.0,19.0,34.0,55.0,41.0,75.0,47.0
163.0,54.0,61.0,65.0,67.0,19.0,34.0,55.0,41.0,74.0,47.0
164.0,54.0,61.0,65.0,66.0,19.0,44.0,55.0,41.0,72.0,46.0
165.0,54.0,61.0,65.0,65.0,19.0,44.0,54.0,41.0,72.0,46.0
166.0,54.0,60.0,65.0,63.0,19.0,43.0,53.0,41.0,72.0,55.0
167.0,54.0,60.0,65.0,63.0,19.0,43.0,52.0,41.0,81.0,55.0
168.0,52.0,60.0,64.0,63.0,19.0,43.0,52.0,40.0,79.0,53.0
169.0,52.0,59.0,64.0,63.0,17.0,43.0,52.0,39.0,79.0,52.0
170.0,50.0,59.0,63.0,63.0,17.0,43.0,52.0,39.0,79.0,62.0
171.0,58.0,58.0,62.0,63.0,17.0,43.0,52.0,38.0,79.0,62.0
172.0,58.0,57.0,62.0,63.0,17.0,43.0,51.0,36.0,78.0,62.0
173.0,58.0,55.0,62.0,63.0,16.0,43.0,51.0,36.0,76.0,62.0
174.0,58.0,55.0,61.0,61.0,16.0,43.0,51.0,36.0,75.0,62.0
175.0,57.0,55.0,61.0,61.0,16.0,43.0,49.0,36.0,73.0,61.0
176.0,57.0,54.0,61.0,60.0,16.0,43.0,49.0,36.0,83.0,61.0
177.0,57.0,54.0,60.0,60.0,16.0,41.0,48.0,36.0,83.0,61.0
178.0,57.0,54.0,70.0,60.0,16.0,41.0,48.0,36.0,82.0,61.0
179.0,57.0,54.0,69.0,59.0,16.0,40.0,48.0,36.0,82.0,61.0
180.0,56.0,53.0,69.0,59.0,16.0,39.0,48.0,36.0,82.0,61.0
181.0,56.0,51.0,68.0,69.0,16.0,39.0,58.0,36.0,80.0,61.0
182.0,56.0,51.0,78.0,69.0,16.0,39.0,58.0,36.0,90.0,71.0
183.0,66.0,50.0,78.0,69.0,16.0,39.0,57.0,36.0,89.0,71.0
184.0,66.0,60.0,78.0,69.0,16.0,39.0,57.0,36.0,89.0,70.0
185.0,65.0,60.0,76.0,79.0,16.0,38.0,57.0,34.0,88.0,69.0
186.0,65.0,58.0,74.0,77.0,15.0,37.0,56.0,34.0,87.0,68.0
187.0,65.0,57.0,74.0,77.0,15.0,37.0,55.0,34.0,87.0,77.0
188.0,65.0,56.0,74.0,77.0,15.0,36.0,55.0,34.0,87.0,77.0
189.0,65.0,56.0,74.0,77.0,15.0,36.0,55.0,34.0,86.0,87.0
190.0,65.0,54.0,74.0,77.0,15.0,36.0,54.0,34.0,86.0,87.0
191.0,64.0,54.0,74.0,75.0,15.0,36.0,52.0,34.0,86.0,86.0
192.0,64.0,54.0,74.0,75.0,15.0,35.0,62.0,34.0,86.0,86.0
193.0,63.0,54.0,73.0,74.0,15.0,35.0,61.0,34.0,86.0,85.0
194.0,62.0,64.0,73.0,73.0,15.0,35.0,61.0,33.0,86.0,85.0
195.0,60.0,63.0,73.0,72.0,15.0,35.0,60.0,33.0,86.0,82.0
196.0,59.0,63.0,72.0,72.0,15.0,45.0,60.0,33.0,95.0,81.0
197.0,58.0,63.0,70.0,71.0,15.0,44.0,59.0,33.0,95.0,81.0
198.0,57.0,63.0,69.0,71.0,15.0,44.0,59.0,33.0,94.0,80.0
199.0,57.0,63.0,69.0,70.0,15.0,44.0,59.0,33.0,94.0,79.0
200.0,57.0,63.0,69.0,70.0,15.0,44.0,59.0,33.0,93.0,79.0
