"Time","S0 (cascade/3_1, 1)","S0 (cascade/3_1, 10)","S0 (cascade/3_1, 2)","S0 (cascade/3_1, 3)","S0 (cascade/3_1, 4)","S0 (cascade/3_1, 5)","S0 (cascade/3_1, 6)","S0 (cascade/3_1, 7)","S0 (cascade/3_1, 8)","S0 (cascade/3_1, 9)"
187.0,108.0,80.0,60.0,110.0,129.0,70.0,90.0,120.0,97.0,30.0
188.0,108.0,80.0,60.0,110.0,129.0,70.0,90.0,120.0,107.0,30.0
189.0,108.0,80.0,60.0,110.0,129.0,80.0,90.0,120.0,107.0,30.0
190.0,108.0,90.0,60.0,110.0,139.0,80.0,90.0,120.0,107.0,30.0
191.0,108.0,90.0,60.0,110.0,139.0,80.0,90.0,120.0,107.0,30.0
192.0,108.0,90.0,60.0,110.0,139.0,80.0,90.0,120.0,107.0,30.0
193.0,108.0,90.0,60.0,110.0,139.0,80.0,90.0,120.0,107.0,30.0
194.0,108.0,90.0,60.0,110.0,139.0,80.0,90.0,120.0,107.0,30.0
195.0,108.0,90.0,60.0,110.0,149.0,80.0,90.0,120.0,107.0,30.0
196.0,108.0,90.0,60.0,110.0,149.0,80.0,90.0,120.0,107.0,30.0
197.0,108.0,90.0,60.0,110.0,149.0,80.0,90.0,120.0,107.0,30.0
198.0,108.0,90.0,60.0,110.0,149.0,80.0,90.0,120.0,117.0,30.0
199.0,108.0,90.0,60.0,110.0,149.0,80.0,100.0,120.0,117.0,30.0
200.0,108.0,90.0,60.0,110.0,149.0,80.0,100.0,120.0,117.0,30.0
