sizeFolder,iterFolder,trainSize,mcrTrain,fprTrain,fnrTrain,testSize,mcrTest,fprTest,fnrTest,runtime,t_t,x_t,c_t
60,0,120,0.25,0.3333333333333333,0.0,1080,0.2111111111111111,0.296875,0.0,0.030389936,1.0,10.0,0.1
60,15,120,0.21666666666666667,0.3023255813953488,0.0,1080,0.21481481481481482,0.3005181347150259,0.0,0.03181678,1.0,10.0,0.1
150,11,300,0.20666666666666667,0.29245283018867924,0.0,900,0.21777777777777776,0.30340557275541796,0.0,0.143855033,1.0,10.0,0.1
150,10,300,0.25666666666666665,0.3392070484581498,0.0,900,0.2011111111111111,0.2868462757527734,0.0,0.216792618,1.0,10.0,0.1
150,18,300,0.21666666666666667,0.3023255813953488,0.0,900,0.21444444444444444,0.3001555209953344,0.0,0.203809315,1.0,10.0,0.1
150,8,300,0.22,0.3055555555555556,0.0,900,0.21333333333333335,0.29906542056074764,0.0,0.187666945,1.0,10.0,0.1
150,2,300,0.20666666666666667,0.29245283018867924,0.0,900,0.21777777777777776,0.30340557275541796,0.0,0.170174434,1.0,10.0,0.1
150,16,300,0.21666666666666667,0.3023255813953488,0.0,900,0.21444444444444444,0.3001555209953344,0.0,0.182419324,1.0,10.0,0.1
150,5,300,0.22333333333333333,0.3087557603686636,0.0,900,0.21222222222222223,0.29797191887675506,0.0,0.187167623,1.0,10.0,0.1
150,9,300,0.18666666666666668,0.27184466019417475,0.0,900,0.22444444444444445,0.3098159509202454,0.0,0.162658967,1.0,10.0,0.1
150,3,300,0.22666666666666666,0.3119266055045872,0.0,900,0.2111111111111111,0.296875,0.0,0.091355349,1.0,10.0,0.1
150,14,300,0.21666666666666667,0.3023255813953488,0.0,900,0.21444444444444444,0.3001555209953344,0.0,0.100028911,1.0,10.0,0.1
150,4,300,0.23,0.3150684931506849,0.0,900,0.21,0.29577464788732394,0.0,0.082825824,1.0,10.0,0.1
150,6,300,0.18666666666666668,0.27184466019417475,0.0,900,0.22444444444444445,0.3098159509202454,0.0,0.082524258,1.0,10.0,0.1
150,7,300,0.2,0.2857142857142857,0.0,900,0.22,0.3055555555555556,0.0,0.073571999,1.0,10.0,0.1
150,12,300,0.21,0.29577464788732394,0.0,900,0.21666666666666667,0.3023255813953488,0.0,0.095971134,1.0,10.0,0.1
