"Time","S0 (inverter/fastDeg, 1)","S0 (inverter/fastDeg, 10)","S0 (inverter/fastDeg, 2)","S0 (inverter/fastDeg, 3)","S0 (inverter/fastDeg, 4)","S0 (inverter/fastDeg, 5)","S0 (inverter/fastDeg, 6)","S0 (inverter/fastDeg, 7)","S0 (inverter/fastDeg, 8)","S0 (inverter/fastDeg, 9)"
25.0,12.0,29.0,6.0,5.0,0.0,4.0,13.0,0.0,9.0,20.0
26.0,11.0,28.0,6.0,4.0,0.0,4.0,12.0,0.0,9.0,30.0
27.0,11.0,27.0,6.0,4.0,0.0,4.0,11.0,0.0,9.0,30.0
28.0,11.0,27.0,5.0,4.0,0.0,3.0,11.0,0.0,8.0,26.0
29.0,8.0,27.0,5.0,4.0,0.0,3.0,11.0,0.0,7.0,26.0
30.0,8.0,25.0,5.0,4.0,10.0,3.0,10.0,0.0,7.0,25.0
31.0,8.0,21.0,5.0,4.0,10.0,3.0,10.0,0.0,7.0,23.0
32.0,6.0,19.0,5.0,4.0,10.0,3.0,10.0,0.0,7.0,23.0
33.0,4.0,18.0,14.0,14.0,10.0,13.0,10.0,0.0,7.0,21.0
34.0,4.0,18.0,23.0,13.0,10.0,11.0,10.0,0.0,7.0,20.0
35.0,3.0,17.0,23.0,12.0,10.0,10.0,9.0,0.0,7.0,19.0
36.0,3.0,17.0,23.0,12.0,10.0,10.0,9.0,0.0,7.0,19.0
37.0,3.0,17.0,21.0,12.0,10.0,10.0,19.0,0.0,7.0,18.0
38.0,3.0,16.0,20.0,12.0,10.0,10.0,17.0,0.0,7.0,17.0
39.0,2.0,14.0,20.0,12.0,10.0,9.0,17.0,0.0,7.0,17.0
40.0,2.0,13.0,20.0,12.0,10.0,9.0,17.0,0.0,7.0,16.0
41.0,12.0,13.0,20.0,20.0,10.0,8.0,17.0,0.0,6.0,15.0
42.0,21.0,12.0,19.0,18.0,10.0,8.0,17.0,0.0,6.0,14.0
43.0,21.0,11.0,17.0,18.0,8.0,7.0,16.0,0.0,6.0,14.0
44.0,21.0,10.0,16.0,17.0,8.0,7.0,15.0,0.0,6.0,14.0
45.0,21.0,10.0,16.0,17.0,8.0,7.0,13.0,0.0,6.0,14.0
46.0,21.0,10.0,16.0,15.0,8.0,7.0,21.0,0.0,6.0,14.0
47.0,21.0,10.0,25.0,14.0,8.0,7.0,21.0,0.0,16.0,14.0
48.0,19.0,10.0,24.0,14.0,8.0,7.0,20.0,0.0,14.0,14.0
49.0,18.0,9.0,22.0,13.0,8.0,7.0,18.0,0.0,14.0,14.0
50.0,17.0,9.0,20.0,12.0,7.0,6.0,28.0,0.0,14.0,14.0
51.0,17.0,9.0,20.0,11.0,6.0,6.0,27.0,0.0,14.0,14.0
52.0,16.0,8.0,19.0,11.0,6.0,6.0,26.0,0.0,14.0,13.0
53.0,16.0,8.0,17.0,9.0,6.0,16.0,24.0,0.0,14.0,11.0
54.0,16.0,8.0,17.0,9.0,16.0,16.0,24.0,0.0,13.0,11.0
55.0,16.0,7.0,17.0,9.0,15.0,15.0,20.0,0.0,13.0,11.0
56.0,15.0,7.0,14.0,9.0,15.0,14.0,19.0,0.0,13.0,11.0
57.0,15.0,6.0,11.0,9.0,15.0,14.0,18.0,0.0,13.0,11.0
58.0,24.0,5.0,10.0,9.0,14.0,13.0,17.0,0.0,12.0,9.0
59.0,23.0,4.0,10.0,9.0,13.0,12.0,17.0,0.0,11.0,9.0
60.0,22.0,4.0,10.0,8.0,10.0,12.0,17.0,0.0,9.0,8.0
61.0,22.0,3.0,10.0,8.0,10.0,12.0,17.0,0.0,9.0,8.0
62.0,21.0,3.0,10.0,8.0,10.0,12.0,15.0,0.0,9.0,8.0
63.0,18.0,3.0,9.0,8.0,8.0,12.0,12.0,0.0,9.0,8.0
64.0,26.0,3.0,8.0,7.0,8.0,12.0,12.0,0.0,9.0,8.0
65.0,25.0,3.0,7.0,6.0,18.0,12.0,12.0,0.0,8.0,8.0
66.0,25.0,13.0,6.0,6.0,18.0,11.0,11.0,0.0,7.0,8.0
67.0,24.0,13.0,6.0,6.0,17.0,10.0,10.0,0.0,6.0,8.0
68.0,34.0,12.0,6.0,5.0,15.0,10.0,10.0,0.0,5.0,8.0
69.0,33.0,21.0,5.0,5.0,15.0,9.0,10.0,0.0,5.0,8.0
70.0,33.0,18.0,5.0,5.0,15.0,8.0,10.0,0.0,5.0,7.0
71.0,31.0,17.0,5.0,5.0,15.0,7.0,10.0,0.0,5.0,7.0
72.0,28.0,16.0,5.0,4.0,14.0,17.0,9.0,0.0,4.0,6.0
73.0,35.0,16.0,5.0,14.0,14.0,16.0,9.0,0.0,4.0,6.0
74.0,33.0,16.0,5.0,13.0,13.0,14.0,9.0,0.0,4.0,6.0
75.0,32.0,16.0,5.0,13.0,13.0,14.0,7.0,0.0,4.0,5.0
76.0,31.0,16.0,5.0,11.0,12.0,12.0,7.0,0.0,4.0,5.0
77.0,30.0,26.0,5.0,11.0,12.0,12.0,6.0,0.0,4.0,4.0
78.0,28.0,36.0,5.0,11.0,12.0,11.0,6.0,10.0,13.0,4.0
79.0,27.0,36.0,5.0,11.0,12.0,10.0,6.0,10.0,13.0,4.0
80.0,27.0,35.0,5.0,9.0,12.0,10.0,6.0,9.0,12.0,2.0
81.0,26.0,32.0,5.0,8.0,11.0,9.0,6.0,9.0,12.0,2.0
82.0,26.0,31.0,5.0,8.0,11.0,19.0,6.0,9.0,12.0,2.0
83.0,26.0,29.0,5.0,8.0,11.0,17.0,6.0,9.0,12.0,2.0
84.0,25.0,25.0,5.0,8.0,9.0,16.0,6.0,9.0,9.0,2.0
85.0,24.0,24.0,5.0,7.0,18.0,16.0,6.0,9.0,8.0,2.0
86.0,23.0,23.0,5.0,6.0,18.0,15.0,6.0,9.0,8.0,2.0
87.0,23.0,21.0,5.0,5.0,16.0,14.0,5.0,9.0,7.0,2.0
88.0,20.0,21.0,5.0,15.0,16.0,14.0,5.0,9.0,7.0,1.0
89.0,19.0,20.0,5.0,15.0,16.0,14.0,5.0,9.0,5.0,1.0
90.0,19.0,20.0,5.0,25.0,16.0,13.0,5.0,9.0,5.0,1.0
91.0,18.0,30.0,5.0,25.0,16.0,13.0,5.0,8.0,4.0,1.0
92.0,18.0,30.0,5.0,22.0,15.0,12.0,5.0,18.0,4.0,1.0
93.0,18.0,27.0,4.0,22.0,13.0,12.0,5.0,17.0,3.0,1.0
94.0,17.0,26.0,4.0,21.0,12.0,10.0,5.0,15.0,3.0,1.0
95.0,17.0,24.0,4.0,19.0,11.0,10.0,5.0,15.0,3.0,1.0
96.0,17.0,23.0,4.0,18.0,11.0,9.0,5.0,14.0,2.0,1.0
97.0,17.0,20.0,4.0,17.0,11.0,9.0,5.0,12.0,2.0,1.0
98.0,17.0,19.0,4.0,16.0,11.0,9.0,5.0,12.0,2.0,0.0
99.0,15.0,18.0,4.0,14.0,10.0,9.0,5.0,11.0,2.0,0.0
100.0,15.0,17.0,4.0,14.0,10.0,8.0,15.0,10.0,2.0,0.0
101.0,15.0,15.0,4.0,24.0,9.0,7.0,15.0,10.0,2.0,0.0
102.0,15.0,13.0,4.0,24.0,9.0,6.0,14.0,9.0,2.0,0.0
103.0,14.0,13.0,4.0,20.0,8.0,6.0,14.0,8.0,2.0,0.0
104.0,12.0,11.0,4.0,20.0,8.0,6.0,24.0,8.0,2.0,10.0
105.0,11.0,21.0,4.0,19.0,8.0,4.0,34.0,8.0,2.0,9.0
106.0,11.0,20.0,4.0,19.0,7.0,4.0,31.0,8.0,2.0,9.0
107.0,11.0,19.0,4.0,18.0,6.0,4.0,27.0,8.0,2.0,7.0
108.0,11.0,19.0,4.0,15.0,6.0,2.0,27.0,8.0,2.0,7.0
109.0,10.0,17.0,4.0,13.0,5.0,2.0,26.0,7.0,2.0,7.0
110.0,9.0,17.0,3.0,13.0,5.0,2.0,26.0,6.0,1.0,7.0
111.0,9.0,16.0,3.0,13.0,5.0,1.0,24.0,5.0,1.0,7.0
112.0,8.0,16.0,3.0,13.0,5.0,1.0,21.0,5.0,1.0,6.0
113.0,7.0,16.0,2.0,12.0,5.0,1.0,20.0,4.0,1.0,5.0
114.0,7.0,15.0,2.0,10.0,5.0,1.0,19.0,4.0,1.0,5.0
115.0,6.0,15.0,2.0,9.0,4.0,1.0,17.0,4.0,1.0,5.0
116.0,6.0,15.0,2.0,9.0,4.0,1.0,17.0,4.0,1.0,15.0
117.0,6.0,14.0,2.0,8.0,4.0,1.0,15.0,4.0,1.0,14.0
118.0,6.0,12.0,2.0,7.0,4.0,1.0,15.0,4.0,1.0,14.0
119.0,6.0,12.0,2.0,7.0,4.0,1.0,13.0,4.0,1.0,13.0
120.0,5.0,12.0,2.0,7.0,4.0,1.0,12.0,4.0,1.0,13.0
121.0,5.0,12.0,2.0,7.0,4.0,1.0,21.0,3.0,1.0,22.0
122.0,5.0,12.0,2.0,6.0,4.0,1.0,21.0,3.0,1.0,20.0
123.0,5.0,12.0,2.0,6.0,4.0,1.0,21.0,2.0,1.0,18.0
124.0,4.0,12.0,2.0,4.0,4.0,1.0,20.0,2.0,1.0,17.0
125.0,4.0,12.0,2.0,3.0,4.0,1.0,19.0,2.0,1.0,17.0
126.0,14.0,22.0,2.0,3.0,4.0,1.0,18.0,2.0,1.0,17.0
127.0,13.0,21.0,2.0,3.0,3.0,1.0,18.0,2.0,11.0,15.0
128.0,12.0,20.0,2.0,3.0,2.0,1.0,18.0,2.0,11.0,14.0
129.0,11.0,19.0,2.0,3.0,2.0,1.0,18.0,2.0,21.0,14.0
130.0,11.0,17.0,2.0,12.0,2.0,1.0,18.0,2.0,20.0,13.0
131.0,11.0,15.0,2.0,12.0,2.0,1.0,18.0,2.0,18.0,12.0
132.0,11.0,12.0,12.0,12.0,2.0,1.0,18.0,2.0,17.0,11.0
133.0,11.0,11.0,11.0,12.0,2.0,1.0,18.0,2.0,15.0,10.0
134.0,10.0,11.0,11.0,12.0,1.0,1.0,16.0,2.0,14.0,10.0
135.0,10.0,10.0,11.0,12.0,1.0,1.0,15.0,2.0,13.0,10.0
136.0,10.0,10.0,11.0,12.0,1.0,1.0,24.0,2.0,13.0,10.0
137.0,10.0,8.0,10.0,11.0,1.0,1.0,24.0,2.0,13.0,9.0
138.0,10.0,8.0,9.0,11.0,1.0,0.0,24.0,2.0,13.0,8.0
139.0,10.0,8.0,18.0,11.0,1.0,0.0,23.0,2.0,12.0,8.0
140.0,18.0,8.0,17.0,10.0,1.0,0.0,23.0,2.0,12.0,8.0
141.0,17.0,8.0,17.0,10.0,1.0,0.0,22.0,2.0,12.0,8.0
142.0,27.0,8.0,17.0,10.0,1.0,0.0,22.0,2.0,11.0,8.0
143.0,26.0,7.0,16.0,10.0,1.0,0.0,20.0,2.0,11.0,8.0
144.0,25.0,7.0,15.0,9.0,1.0,0.0,20.0,2.0,11.0,8.0
145.0,24.0,7.0,14.0,8.0,1.0,0.0,20.0,2.0,10.0,8.0
146.0,24.0,6.0,14.0,7.0,1.0,0.0,19.0,2.0,19.0,8.0
147.0,24.0,6.0,23.0,6.0,1.0,0.0,19.0,2.0,18.0,17.0
148.0,24.0,3.0,21.0,6.0,1.0,0.0,18.0,2.0,18.0,17.0
149.0,21.0,3.0,21.0,5.0,1.0,0.0,17.0,2.0,18.0,17.0
150.0,20.0,3.0,21.0,5.0,1.0,0.0,16.0,1.0,17.0,15.0
151.0,20.0,2.0,21.0,5.0,1.0,0.0,15.0,1.0,17.0,13.0
152.0,18.0,2.0,19.0,5.0,1.0,0.0,15.0,1.0,27.0,12.0
153.0,16.0,1.0,19.0,5.0,1.0,0.0,14.0,1.0,23.0,10.0
154.0,16.0,1.0,17.0,5.0,1.0,0.0,14.0,1.0,22.0,10.0
155.0,16.0,1.0,14.0,5.0,11.0,0.0,13.0,1.0,22.0,10.0
156.0,15.0,1.0,14.0,5.0,11.0,0.0,13.0,1.0,21.0,8.0
157.0,15.0,1.0,12.0,5.0,10.0,0.0,23.0,1.0,20.0,8.0
158.0,15.0,1.0,11.0,5.0,10.0,0.0,22.0,1.0,19.0,7.0
159.0,13.0,1.0,11.0,5.0,9.0,0.0,22.0,1.0,18.0,7.0
160.0,11.0,1.0,10.0,5.0,9.0,0.0,20.0,1.0,27.0,7.0
161.0,10.0,1.0,10.0,5.0,9.0,0.0,20.0,1.0,27.0,17.0
162.0,10.0,1.0,9.0,5.0,9.0,0.0,19.0,1.0,27.0,14.0
163.0,9.0,1.0,18.0,5.0,19.0,0.0,16.0,1.0,26.0,13.0
164.0,7.0,1.0,18.0,5.0,18.0,0.0,14.0,1.0,25.0,13.0
165.0,7.0,1.0,17.0,4.0,18.0,0.0,12.0,1.0,24.0,13.0
166.0,7.0,1.0,16.0,3.0,15.0,0.0,12.0,1.0,22.0,23.0
167.0,15.0,1.0,14.0,2.0,14.0,0.0,12.0,1.0,22.0,22.0
168.0,14.0,1.0,13.0,2.0,14.0,0.0,12.0,1.0,21.0,22.0
169.0,24.0,1.0,12.0,2.0,12.0,0.0,10.0,1.0,20.0,21.0
170.0,24.0,1.0,10.0,2.0,22.0,0.0,10.0,1.0,20.0,20.0
171.0,20.0,9.0,10.0,2.0,22.0,0.0,8.0,1.0,17.0,19.0
172.0,19.0,9.0,9.0,2.0,21.0,0.0,8.0,1.0,15.0,19.0
173.0,18.0,9.0,8.0,2.0,21.0,0.0,8.0,1.0,14.0,18.0
174.0,27.0,9.0,8.0,2.0,21.0,0.0,17.0,1.0,14.0,17.0
175.0,22.0,9.0,8.0,2.0,19.0,0.0,16.0,1.0,13.0,15.0
176.0,22.0,9.0,8.0,2.0,18.0,0.0,15.0,1.0,12.0,15.0
177.0,22.0,9.0,7.0,2.0,18.0,0.0,15.0,1.0,12.0,15.0
178.0,20.0,8.0,7.0,2.0,17.0,0.0,15.0,1.0,11.0,14.0
179.0,18.0,7.0,7.0,1.0,17.0,0.0,14.0,1.0,11.0,14.0
180.0,17.0,6.0,7.0,9.0,16.0,0.0,14.0,1.0,11.0,14.0
181.0,16.0,6.0,5.0,9.0,15.0,0.0,14.0,1.0,11.0,14.0
182.0,15.0,6.0,5.0,8.0,13.0,0.0,14.0,1.0,11.0,14.0
183.0,15.0,6.0,5.0,8.0,13.0,0.0,12.0,1.0,20.0,14.0
184.0,14.0,6.0,4.0,8.0,13.0,0.0,12.0,1.0,20.0,13.0
185.0,13.0,6.0,4.0,8.0,11.0,0.0,11.0,1.0,20.0,13.0
186.0,13.0,6.0,4.0,8.0,9.0,0.0,9.0,11.0,17.0,12.0
187.0,12.0,6.0,4.0,8.0,9.0,0.0,9.0,31.0,17.0,12.0
188.0,12.0,6.0,13.0,7.0,9.0,0.0,9.0,26.0,26.0,12.0
189.0,10.0,6.0,12.0,7.0,8.0,0.0,9.0,24.0,25.0,12.0
190.0,10.0,6.0,12.0,7.0,8.0,0.0,8.0,23.0,24.0,12.0
191.0,10.0,6.0,11.0,7.0,8.0,0.0,8.0,23.0,24.0,12.0
192.0,9.0,5.0,10.0,6.0,8.0,0.0,8.0,23.0,23.0,10.0
193.0,9.0,5.0,10.0,6.0,8.0,0.0,8.0,22.0,21.0,10.0
194.0,8.0,4.0,9.0,6.0,8.0,0.0,8.0,19.0,21.0,18.0
195.0,7.0,4.0,9.0,15.0,8.0,0.0,8.0,18.0,19.0,17.0
196.0,17.0,4.0,9.0,15.0,7.0,0.0,8.0,18.0,19.0,13.0
197.0,14.0,2.0,9.0,13.0,7.0,0.0,8.0,18.0,18.0,12.0
198.0,14.0,2.0,8.0,12.0,7.0,0.0,8.0,18.0,15.0,11.0
199.0,14.0,2.0,8.0,12.0,7.0,0.0,7.0,17.0,13.0,11.0
200.0,14.0,2.0,8.0,12.0,6.0,0.0,7.0,16.0,12.0,11.0
